date,new_users,active_users,sessions,avg_session_duration
2026-01-01,45,120,210,5.2
2026-01-02,50,130,225,5.4
2026-01-03,48,128,220,5.3
2026-01-04,55,140,240,5.6
2026-01-05,60,150,260,5.8
2026-01-06,62,155,270,6.0
2026-01-07,58,148,255,5.7
2026-01-08,65,160,280,6.2
2026-01-09,70,170,300,6.4
2026-01-10,68,168,295,6.3
2026-01-11,75,180,320,6.5
2026-01-12,80,190,340,6.7
2026-01-13,78,185,330,6.6
2026-01-14,85,200,360,6.9
2026-01-15,90,210,380,7.1
2026-01-16,88,205,370,7.0
2026-01-17,95,220,400,7.3
2026-01-18,100,230,420,7.5
2026-01-19,98,225,410,7.4
2026-01-20,105,240,440,7.7
2026-01-21,110,250,460,7.9
2026-01-22,108,245,450,7.8
2026-01-23,115,260,480,8.0
2026-01-24,120,270,500,8.2
2026-01-25,118,265,490,8.1
2026-01-26,125,280,520,8.4
2026-01-27,130,290,540,8.6
2026-01-28,128,285,530,8.5
2026-01-29,135,300,560,8.8
2026-01-30,140,310,580,9.0
2026-01-31,138,305,570,8.9
2026-02-01,145,320,600,9.2
2026-02-02,150,330,620,9.4
2026-02-03,148,325,610,9.3
2026-02-04,155,340,640,9.6
2026-02-05,160,350,660,9.8
2026-02-06,158,345,650,9.7
2026-02-07,165,360,680,10.0
2026-02-08,170,370,700,10.2
2026-02-09,168,365,690,10.1
2026-02-10,175,380,720,10.4
2026-02-11,180,390,740,10.6
2026-02-12,178,385,730,10.5
2026-02-13,185,400,760,10.8
2026-02-14,190,410,780,11.0
2026-02-15,188,405,770,10.9
2026-02-16,195,420,800,11.2
2026-02-17,200,430,820,11.4
2026-02-18,198,425,810,11.3
2026-02-19,205,440,840,11.6
2026-02-20,210,450,860,11.8
2026-02-21,208,445,850,11.7
2026-02-22,215,460,880,12.0
2026-02-23,220,470,900,12.2
2026-02-24,218,465,890,12.1
2026-02-25,225,480,920,12.4
2026-02-26,230,490,940,12.6
2026-02-27,228,485,930,12.5
2026-02-28,235,500,960,12.8
2026-03-01,240,510,980,13.0
