date,new_users,active_users,sessions,avg_session_duration
2025-01-01,83,267,372,6.6
2025-01-02,100,269,473,8.7
2025-01-03,107,332,505,6.1
2025-01-04,120,324,573,7.9
2025-01-05,84,287,454,9.1
2025-01-06,118,365,647,7.9
2025-01-07,106,277,425,9.0
2025-01-08,118,337,495,8.4
2025-01-09,109,347,537,8.5
2025-01-10,105,323,552,5.6
2025-01-11,124,392,675,6.3
2025-01-12,123,410,672,7.3
2025-01-13,127,349,460,8.8
2025-01-14,109,347,460,7.4
2025-01-15,129,357,571,6.9
2025-01-16,137,436,583,4.5
2025-01-17,135,470,648,5.2
2025-01-18,134,440,754,7.1
2025-01-19,108,293,459,5.9
2025-01-20,129,361,552,8.8
2025-01-21,127,321,544,8.2
2025-01-22,132,421,641,7.4
2025-01-23,119,394,702,7.3
2025-01-24,109,354,634,5.2
2025-01-25,144,431,636,7.0
2025-01-26,123,313,479,9.3
2025-01-27,136,346,523,7.0
2025-01-28,143,435,707,5.4
2025-01-29,114,393,586,5.3
2025-01-30,148,459,609,9.2
2025-01-31,150,497,767,8.8
2025-02-01,146,432,657,6.4
2025-02-02,128,362,487,9.3
2025-02-03,125,415,660,5.0
2025-02-04,129,410,681,5.7
2025-02-05,152,431,582,5.4
2025-02-06,150,501,713,8.4
2025-02-07,130,387,670,6.3
2025-02-08,152,413,735,9.2
2025-02-09,136,395,576,8.3
2025-02-10,130,336,463,6.8
2025-02-11,167,578,946,8.8
2025-02-12,132,452,601,5.9
2025-02-13,141,421,722,8.6
2025-02-14,149,426,721,6.4
2025-02-15,169,491,863,5.7
2025-02-16,156,474,845,8.1
2025-02-17,146,482,668,6.6
2025-02-18,154,458,596,7.2
2025-02-19,171,432,699,7.5
2025-02-20,141,403,629,9.2
2025-02-21,147,423,740,5.9
2025-02-22,176,554,750,7.4
2025-02-23,144,393,681,6.8
2025-02-24,153,523,853,9.2
2025-02-25,151,412,723,8.7
2025-02-26,170,517,700,9.3
2025-02-27,173,593,1052,8.4
2025-02-28,156,535,726,7.6
2025-03-01,172,453,742,5.5
2025-03-02,175,522,713,7.9
2025-03-03,185,629,1110,7.1
2025-03-04,190,567,1000,4.7
2025-03-05,189,616,1064,8.7
2025-03-06,159,496,726,8.1
2025-03-07,188,613,842,9.0
2025-03-08,167,541,807,5.0
2025-03-09,191,635,981,5.9
2025-03-10,179,460,748,8.4
2025-03-11,185,539,706,8.5
2025-03-12,195,517,823,7.1
2025-03-13,174,511,788,8.3
2025-03-14,189,539,794,8.1
2025-03-15,205,694,1005,7.7
2025-03-16,206,594,1038,5.5
2025-03-17,202,665,871,5.5
2025-03-18,188,568,754,5.9
2025-03-19,201,678,1043,6.0
2025-03-20,175,439,606,7.9
2025-03-21,183,570,897,7.3
2025-03-22,187,468,677,5.5
2025-03-23,199,506,690,9.5
2025-03-24,183,574,944,9.2
2025-03-25,194,567,833,4.5
2025-03-26,189,656,1006,6.6
2025-03-27,218,656,871,5.8
2025-03-28,195,624,904,5.3
2025-03-29,200,546,968,6.8
2025-03-30,196,633,962,5.2
2025-03-31,225,625,960,9.0
2025-04-01,190,529,922,5.7
2025-04-02,218,671,970,5.3
2025-04-03,220,593,777,6.2
2025-04-04,212,672,940,7.8
2025-04-05,211,671,961,8.8
2025-04-06,203,549,833,4.9
2025-04-07,211,581,854,9.4
2025-04-08,207,602,837,8.0
2025-04-09,230,693,1135,5.1
2025-04-10,209,727,976,8.1
2025-04-11,206,628,904,7.8
2025-04-12,228,732,1156,7.5
2025-04-13,237,749,1032,8.7
2025-04-14,221,685,1019,5.7
2025-04-15,240,740,993,5.1
2025-04-16,238,816,1328,7.0
2025-04-17,230,680,1189,6.2
2025-04-18,211,560,846,6.5
2025-04-19,218,648,1002,8.5
2025-04-20,246,797,1402,8.0
2025-04-21,229,656,928,5.6
2025-04-22,247,791,1162,4.9
2025-04-23,215,686,904,4.6
2025-04-24,243,751,1044,4.7
2025-04-25,252,710,1190,8.1
2025-04-26,256,769,1369,9.5
2025-04-27,241,805,1427,8.5
2025-04-28,250,845,1214,6.1
2025-04-29,227,598,796,9.0
2025-04-30,222,740,1220,9.1
2025-05-01,263,830,1376,8.5
2025-05-02,247,822,1361,6.9
2025-05-03,238,702,1204,9.3
2025-05-04,245,648,849,7.0
2025-05-05,257,687,1035,5.4
2025-05-06,246,658,1049,9.3
2025-05-07,260,714,1206,6.4
2025-05-08,237,611,1038,4.6
2025-05-09,269,907,1180,6.5
2025-05-10,260,858,1356,5.5
2025-05-11,237,623,1061,9.3
2025-05-12,237,762,1029,8.4
2025-05-13,273,793,1335,6.5
2025-05-14,261,836,1222,8.6
2025-05-15,244,697,1118,4.7
2025-05-16,263,814,1103,9.2
2025-05-17,278,865,1477,9.4
2025-05-18,280,796,1107,5.4
2025-05-19,245,682,946,5.4
2025-05-20,267,822,1273,6.4
2025-05-21,276,829,1250,9.1
2025-05-22,267,889,1192,6.7
2025-05-23,251,741,1015,8.0
2025-05-24,276,958,1712,6.7
2025-05-25,253,752,1321,5.8
2025-05-26,273,882,1189,6.3
2025-05-27,280,877,1225,7.0
2025-05-28,263,674,947,5.5
2025-05-29,259,815,1068,5.3
2025-05-30,269,777,1021,8.4
2025-05-31,268,935,1600,8.7
2025-06-01,233,703,1256,6.0
2025-06-02,244,790,1243,7.9
2025-06-03,246,748,1305,8.2
2025-06-04,247,743,1159,5.8
2025-06-05,273,720,938,8.1
2025-06-06,263,688,1206,6.0
2025-06-07,253,844,1490,4.6
2025-06-08,275,816,1326,5.1
2025-06-09,274,801,1071,9.3
2025-06-10,273,684,1042,6.9
2025-06-11,246,756,1154,6.1
2025-06-12,251,838,1235,6.8
2025-06-13,249,789,1070,6.1
2025-06-14,266,901,1366,9.3
2025-06-15,254,886,1556,8.7
2025-06-16,258,892,1537,5.9
2025-06-17,256,724,955,5.0
2025-06-18,268,853,1114,8.0
2025-06-19,270,873,1167,8.8
2025-06-20,277,892,1300,5.1
2025-06-21,285,827,1276,7.8
2025-06-22,256,646,955,6.7
2025-06-23,293,791,1394,6.0
2025-06-24,273,779,1205,4.8
2025-06-25,290,874,1307,8.7
2025-06-26,267,862,1318,7.2
2025-06-27,292,776,1036,5.5
2025-06-28,283,794,1297,4.9
2025-06-29,272,687,980,6.8
2025-06-30,285,735,963,9.0
2025-07-01,301,752,1146,8.1
2025-07-02,302,928,1220,9.5
2025-07-03,269,912,1518,9.2
2025-07-04,268,702,1078,9.0
2025-07-05,285,964,1257,9.2
2025-07-06,282,840,1319,5.7
2025-07-07,290,860,1213,6.5
2025-07-08,285,790,1324,8.1
2025-07-09,279,828,1154,5.2
2025-07-10,302,812,1242,5.7
2025-07-11,280,765,1360,7.7
2025-07-12,312,817,1372,7.4
2025-07-13,303,1013,1731,5.1
2025-07-14,299,1006,1491,8.3
2025-07-15,299,832,1216,6.0
2025-07-16,292,927,1646,6.8
2025-07-17,301,786,1295,8.7
2025-07-18,301,796,1203,4.7
2025-07-19,320,901,1463,4.6
2025-07-20,317,924,1332,9.4
2025-07-21,288,739,1278,4.8
2025-07-22,302,1029,1505,8.8
2025-07-23,307,828,1281,6.1
2025-07-24,304,880,1198,7.6
2025-07-25,291,806,1386,9.0
2025-07-26,299,998,1655,7.6
2025-07-27,305,860,1389,4.7
2025-07-28,317,877,1251,8.8
2025-07-29,316,1077,1672,9.4
2025-07-30,321,955,1480,5.6
2025-07-31,311,841,1211,9.1
2025-08-01,332,1141,1620,7.5
2025-08-02,339,910,1398,9.1
2025-08-03,318,868,1297,7.0
2025-08-04,305,1052,1521,6.0
2025-08-05,335,896,1421,5.0
2025-08-06,316,1094,1473,7.7
2025-08-07,343,1144,1522,7.6
2025-08-08,332,1147,1546,5.3
2025-08-09,340,1121,1868,7.2
2025-08-10,319,1010,1565,7.7
2025-08-11,335,936,1624,7.4
2025-08-12,314,948,1671,7.3
2025-08-13,323,1101,1741,9.1
2025-08-14,349,888,1591,6.5
2025-08-15,333,880,1355,4.7
2025-08-16,330,1035,1449,6.0
2025-08-17,355,1034,1770,6.2
2025-08-18,339,978,1641,8.5
2025-08-19,323,1050,1835,5.7
2025-08-20,324,935,1549,8.9
2025-08-21,356,935,1542,7.7
2025-08-22,337,867,1417,5.8
2025-08-23,328,1028,1837,6.8
2025-08-24,358,1207,1897,8.9
2025-08-25,360,1101,1441,4.8
2025-08-26,364,1059,1584,9.3
2025-08-27,355,1117,1899,5.4
2025-08-28,336,1087,1810,7.4
2025-08-29,337,935,1562,4.8
2025-08-30,332,1142,1539,4.6
2025-08-31,358,917,1610,5.9
2025-09-01,375,1216,1876,4.6
2025-09-02,394,1290,1879,8.3
2025-09-03,389,1119,1491,8.8
2025-09-04,408,1161,1934,5.8
2025-09-05,408,1080,1682,6.2
2025-09-06,405,1307,2349,5.3
2025-09-07,406,1132,1844,9.2
2025-09-08,413,1076,1764,9.4
2025-09-09,415,1156,1927,8.5
2025-09-10,414,1151,1576,7.7
2025-09-11,420,1295,2242,5.2
2025-09-12,412,1125,1983,5.8
2025-09-13,411,1390,2237,6.6
2025-09-14,407,1244,2141,8.0
2025-09-15,403,1199,2136,7.2
2025-09-16,401,1049,1640,8.2
2025-09-17,412,1091,1473,4.8
2025-09-18,399,1198,2055,5.5
2025-09-19,407,1318,1895,9.5
