date,new_sessions,active_users,churn_rate,retention_rate
2025-01-01,186,497,0.09,0.91
2025-01-02,229,613,0.07,0.93
2025-01-03,208,592,0.07,0.93
2025-01-04,216,635,0.07,0.93
2025-01-05,184,603,0.08,0.92
2025-01-06,194,665,0.08,0.92
2025-01-07,217,567,0.08,0.92
2025-01-08,214,651,0.07,0.93
2025-01-09,216,567,0.08,0.92
2025-01-10,212,735,0.09,0.91
2025-01-11,213,685,0.07,0.93
2025-01-12,215,657,0.07,0.93
2025-01-13,210,633,0.08,0.92
2025-01-14,247,786,0.08,0.92
2025-01-15,204,563,0.07,0.93
2025-01-16,227,701,0.08,0.92
2025-01-17,206,561,0.07,0.93
2025-01-18,216,639,0.09,0.91
2025-01-19,210,626,0.07,0.93
2025-01-20,219,749,0.06,0.94
2025-01-21,268,868,0.07,0.93
2025-01-22,222,579,0.08,0.92
2025-01-23,222,659,0.08,0.92
2025-01-24,227,588,0.06,0.94
2025-01-25,239,775,0.09,0.91
2025-01-26,246,697,0.08,0.92
2025-01-27,228,573,0.08,0.92
2025-01-28,264,803,0.06,0.94
2025-01-29,245,825,0.09,0.91
2025-01-30,260,838,0.08,0.92
2025-01-31,256,641,0.08,0.92
2025-02-01,261,786,0.06,0.94
2025-02-02,254,657,0.08,0.92
2025-02-03,288,957,0.08,0.92
2025-02-04,264,779,0.09,0.91
2025-02-05,273,869,0.07,0.93
2025-02-06,259,690,0.08,0.92
2025-02-07,247,721,0.07,0.93
2025-02-08,298,868,0.06,0.94
2025-02-09,291,819,0.08,0.92
2025-02-10,293,776,0.09,0.91
2025-02-11,267,869,0.07,0.93
2025-02-12,281,710,0.08,0.92
2025-02-13,285,816,0.08,0.92
2025-02-14,258,741,0.08,0.92
2025-02-15,263,876,0.06,0.94
2025-02-16,276,715,0.08,0.92
2025-02-17,285,832,0.08,0.92
2025-02-18,295,924,0.09,0.91
2025-02-19,305,789,0.08,0.92
2025-02-20,315,951,0.07,0.93
2025-02-21,317,808,0.08,0.92
2025-02-22,300,845,0.07,0.93
2025-02-23,321,1053,0.07,0.93
2025-02-24,326,947,0.09,0.91
2025-02-25,300,912,0.07,0.93
2025-02-26,334,1095,0.09,0.91
2025-02-27,309,825,0.08,0.92
2025-02-28,341,1116,0.08,0.92
2025-03-01,308,846,0.07,0.93
2025-03-02,345,955,0.08,0.92
2025-03-03,298,776,0.08,0.92
2025-03-04,319,928,0.09,0.91
2025-03-05,314,877,0.09,0.91
2025-03-06,328,1070,0.09,0.91
2025-03-07,306,826,0.08,0.92
2025-03-08,347,1004,0.06,0.94
2025-03-09,317,1070,0.09,0.91
2025-03-10,356,1048,0.07,0.93
2025-03-11,324,1007,0.08,0.92
2025-03-12,318,1089,0.08,0.92
2025-03-13,333,1099,0.08,0.92
2025-03-14,373,1054,0.06,0.94
2025-03-15,369,1171,0.08,0.92
2025-03-16,332,1145,0.07,0.93
2025-03-17,361,1200,0.07,0.93
2025-03-18,362,1087,0.06,0.94
2025-03-19,325,1132,0.07,0.93
2025-03-20,345,1168,0.07,0.93
2025-03-21,345,1044,0.06,0.94
2025-03-22,360,1111,0.07,0.93
2025-03-23,370,1039,0.09,0.91
2025-03-24,352,901,0.06,0.94
2025-03-25,360,1119,0.07,0.93
2025-03-26,369,941,0.08,0.92
2025-03-27,364,988,0.06,0.94
2025-03-28,367,1162,0.08,0.92
2025-03-29,355,1011,0.08,0.92
2025-03-30,398,1212,0.09,0.91
2025-03-31,365,1198,0.09,0.91
2025-04-01,395,1255,0.08,0.92
2025-04-02,370,1238,0.08,0.92
2025-04-03,374,1200,0.07,0.93
2025-04-04,358,1083,0.08,0.92
2025-04-05,363,1130,0.08,0.92
2025-04-06,393,1228,0.07,0.93
2025-04-07,410,1217,0.07,0.93
2025-04-08,398,1008,0.08,0.92
2025-04-09,396,1279,0.08,0.92
2025-04-10,386,1026,0.08,0.92
2025-04-11,379,1275,0.07,0.93
2025-04-12,407,1325,0.06,0.94
2025-04-13,431,1407,0.09,0.91
2025-04-14,376,1022,0.08,0.92
2025-04-15,399,1030,0.09,0.91
2025-04-16,415,1064,0.09,0.91
2025-04-17,398,1119,0.09,0.91
2025-04-18,404,1354,0.06,0.94
2025-04-19,430,1079,0.09,0.91
2025-04-20,431,1267,0.06,0.94
2025-04-21,430,1271,0.09,0.91
2025-04-22,433,1435,0.08,0.92
